Terme,Définition,Type,Sujet - court,Sujet long,Année,IDSujet,Sujet - long,Image
Bataille du Talas,"751, bien que victorieuse face à l’empire chinois, l’armée musulmane arrête son expansion en Orient à la suite de cette bataille",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
bréviaire d’Alaric,"506, des lois barbares sont mises par écrit, cela traduit l’influence du droit romain",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Califat abbasside,750 - 1258 (1517),Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
califat almohade,1130 - 1226,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Califat fatimide,910 - 1171,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Califat omeyyade,661 - 750,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Califat omeyyade de Cordoue,926 - 1031,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
capitulaire de Quierzy,"877, la charge comtale devient héréditaire et le souverain ne fait que confirmer l’attribution du titre",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Charlemagne sacré empereur,800,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Charles le Simple octroie la Normandie à Rolon,911,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Charles Martel arrête le progrès des incursions musulmanes à Poitiers,732,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Charles Martel repousse les Musulmans à Poitiers,732,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Chute de Saint-Jean d’Acre,"1284, dernier bastion franc en Terre Sainte",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Concile de Latran IV,"1215, raffermit l’emprise de la papauté sur les laïcs : le mariage devient un sacrement, la pratique de l’eucharistie est renforcée, obligation de dénoncer les hérétiques, la condition des juifs se durcit…",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
concile de Nicée,"325,  théorise la doctrine chrétienne autour de la Trinité",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Concordat de Worms,"1122, fin du conflit entre pape et empereur suite aux réformes grégoriennes",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
concordat de Worms,"1122, fin au conflit entre le pape et l’empereur suite aux réformes grégoriennes",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
"Conquête de la Mésopotamie ","637, la Mésopotamie (qui devient l’Irak) et la Djazirah sont conquis par les musulmans au détriment de l’empire sassanide",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
"Constitutions de Melfi ","1231, : Frédéric II promulgue les constitutions de Melfi, des lois placées sous le droit romain qui font du crime de lèse-majesté l’équivalent d’une hérésie : s’attaquer à l’empereur, c’est s’attaquer à Dieu",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Deuxième croisade,1146,Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Deuxième croisade,"1146 - 1149, elle se solde par une victoire politique pour Nur ad-Din, dont l’armée a fait reculer les croisés sans qu’ils ne parviennent à reprendre le moindre territoire du comté d’Edesse",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Dictatus Papae,"1075, Grégoire VII raffermit grandement le pouvoir du pape qui est à présent un monarque. Déclenche la Querelle des Investitures",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Dictatus Papae,"1075,  Dictatus Papae, Grégoire VII raffermit grandement le pouvoir du pape qui est à présent un monarque. Déclenche la Querelle des Investitures",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Edit de Milan,"313, ""autorise"" le christianisme. En réalité, ce n'est pas une légalisation officielle mais une dépénalisation dans un territoire restreint",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Emirat almoravide,1048 - 1147,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Emirs de émirs chez les Abbassides,936,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
fin du califat fatimide,"1171, vidé de sa substance religieuse par Saladin, alors que la réalité du pouvoir politique était déjà exercé par les vizirs",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
fin du règne de Charles le Gros,"888, dernier souverain carolingien à la tête de l’ensemble des royaumes carolingiens",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Fitna dans Al-Andalous,1009,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Grande Jacquerie,1358,Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Grandes famines,1315–1318,Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Guerre de Cent Ans,"1337–1453, série de conflits entrecoupés qui ont opposé les monarchies françaises et anglaises. Bornes chronologiques conventionnelles choisies au XIXe, de la revendication de la couronne de France par Edouard III à la bataille de Castillon",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Hattin,"1187, Saladin défait les francs du royaume latin de Jérusalem à Hattin, Jérusalem tombe peu après",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Hégire,"622, Muhammad et sa communauté quittent la Mecque pour Médine. Point de départ du calendrier musulman. Début du conflit entre les musulmans et les Qurayshites",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
l’émirat omeyyade d’Espagne est proclamé par Abd al-Raman Ier,"756, unique survivant omeyyade. Il est officiellement soumis aux Abbassides",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
"l’ensemble de la péninsule ibérique est conquise, sauf le royaume des Asturies",720,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
L’exarchat de Carthage chute face aux musulmans,"698, fin de la présence de l’empire byzantin en Afrique du Nord",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
"la principauté samanide du califat abbasside s’effondre, avènement des Ghaznévides",999,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Las Navas de Tolosa,"1212,  l’armée chrétienne unifiée écrase les Almohades à las Navas de Tolosa. C’est une bascule pour le califat",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Les Bouyides dominent la politique abbasside,env. 950 – env. 1050,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
les émirs des taifas alliés aux Almoravides stoppent la Reconquista,1086,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Les Fatimides conquièrent l'Egypte,969,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
" les musulmans achèvent la conquête de l’empire sassanide, mais le territoire restera perclus de révoltes sous les Omeyyades",651,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Les musulmans reprennent Jérusalem,1187,Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Les Qarmates pillent la Mecque,930,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
les Seldjoukides s’emparent de Bagdad,1055,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Manzikert,"1071, grave défaite de l’empire byzantin face aux Seljoukides, qui acte son déclin",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
mort de Childéric 1er,"481, c’était le premier roi mérovingien attesté, père de Clovis 1er",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Mort de Frédéric II,"1250, fin de la dynastie Hohenstaufen, l’Empire se vide de sa substance
politique jusqu’à la fin du MA. Son ennemi politique, l’Eglise, emporte le duel",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
"Mort de Malikshah, dernier grand sultan seldjoukide","1092, fin des conquêtes seldjoukides et de l'unité territoriale, les émirats vont peu à peu s'émanciper du pouvoir central",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
"mort de Muhammad ","8 juin 632, il meurt après une courte maladie. Il n’a pas de successeur désigné ni d’héritier mâle direct. Sa personne fait l’objet d’un culte d’intensité croissante à partir de cette date",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
mort du calife omeyyade Hakam II,"976, à partir de laquelle le califat omeyyade de Cordoue décline",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
"Muhammad vainc les Qurayshites mecquois, premier hajj",630,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Otton Ier restaure l’Empire en Germanie,962,Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
partage du royaume mérovingien,"561, Austrasie, Neustrie et Burgondie",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Pépin le Bref roi des Francs,"751, c’est le début de la dynastie des Carolingiens",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Peste Noire,1347–1349,Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Prise d’Acre et de Tyr par les mamelouks.,"1291, chute définitive des états chrétien d’Orient",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Prise d'Edesse,"1144, c’est la première victoire musulmane significative depuis la première croisade. Zengi est perçu par les sunnites du Proche-Orient comme le champion du djihad contre les chrétiens. La chute d’Edesse déclenche la deuxième croisade
",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
prise de Bagdad par les Mongols,"1258, les survivants abbassides se réfugient au Caire, signe que les fatimides n'y existent plus. Considéré comme la fin du califat abbasside",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Prise de Bordeaux,"1453, la reconquête du territoire continental français est achevé, les Anglais ne conservent plus que Calais",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
Prise de Jérusalem par les chrétiens,1099,Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
prise de Jérusalem par les croisés aux Fatimides,"1099, les croisés massacrent la population juive et musulmane.",Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
prise de Tolède par les chrétiens,1085,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Prise de Tolède par les Omeyyades,712,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Querelle des Investitures,"1075–1099, Querelle des Investitures, l’empereur et le pape se disputent la capacité à nommer les clercs",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
querelle des investitures,"1075 – 1099, l’empereur et le pape se disputent la capacité à nommer (”investir”) les clercs",Date,Europe médiévale I,Introduction à l'Europe médiévale (Ve - XIIe siècles),S2,Europe médiévale I (https://www.notion.so/Europe-m-di-vale-I-21d0f67b98028024bafbc3f06be629cb?pvs=21),Introduction à l'Europe médiévale (Ve - XIIe siècles),
Révolte de Zanj,868 - 883,Date,Islam médiéval,Monde musulman du VIIe au XIIIe siècle,S6,Islam médiéval (https://www.notion.so/Islam-m-di-val-21c0f67b980280ddaae7e088971e332a?pvs=21),Monde musulman du VIIe au XIIIe siècle,
Révolte des Ciompi,"1378, des travailleurs du textile florentin. Sert pour illustrer l’aspect social de la
crise du XIVè",Date,Europe médiévale II,Introduction à l'Europe médiévale (XIIIe - XVe siècle),S3,Europe médiévale II (https://www.notion.so/Europe-m-di-vale-II-21c0f67b980280e6bd13f951394af682?pvs=21),Introduction à l'Europe médiévale (XIIIe - XVe siècle),
