content;start;end;details;groupname
Muhammad vainc les Qurayshites mecquois, premier hajj;630;;;Islam médiéval
Otton Ier restaure l’Empire en Germanie;962;;;Europe médiévale
partage du royaume mérovingien;561;;Austrasie, Neustrie et Burgondie;Europe médiévale
Pépin le Bref roi des Francs;751;;c’est le début de la dynastie des Carolingiens;Europe médiévale
Peste Noire;1347;1349;;Europe médiévale
Prise d’Acre et de Tyr par les mamelouks.;1291;;chute définitive des états chrétien d’Orient;Islam médiéval
Prise d'Edesse;1144;;"c’est la première victoire musulmane significative depuis la première croisade. Zengi est perçu par les sunnites du Proche-Orient comme le champion du djihad contre les chrétiens. La chute d’Edesse déclenche la deuxième croisade
";Islam médiéval
prise de Bagdad par les Mongols;1258;;les survivants abbassides se réfugient au Caire, signe que les fatimides n'y existent plus. Considéré comme la fin du califat abbasside;Islam médiéval
Prise de Bordeaux;1453;;la reconquête du territoire continental français est achevé, les Anglais ne conservent plus que Calais;Europe médiévale
prise de Jérusalem par les croisés aux Fatimides;1099;;les croisés massacrent la population juive et musulmane.;Islam médiéval
prise de Tolède par les chrétiens;1085;;;Islam médiéval
Prise de Tolède par les Omeyyades;712;;;Islam médiéval
Querelle des Investitures;1075;1099;Querelle des Investitures, l’empereur et le pape se disputent la capacité à nommer les clercs;Europe médiévale
querelle des investitures;1075;1099;l’empereur et le pape se disputent la capacité à nommer (”investir”) les clercs;Europe médiévale
Révolte de Zanj;868;883;;Islam médiéval
Révolte des Ciompi;1378;;"des travailleurs du textile florentin. Sert pour illustrer l’aspect social de la crise du XIVè";Europe médiévale
Révoltes abbassides au Khorasan;747;;;Islam médiéval
Sac de Constantinople;1204;;;Europe médiévale
schisme entre Églises romaine et byzantine;1054;;;Europe médiévale
Signature de la Magna Carta;1215;;l’aristocratie anglaise gagne du pouvoir;Europe médiévale
Théodose fait du christianisme une religion d’état;380;;;Europe médiévale
Traité de Brétigny;1360;;" les Plantagenêt récupèrent de grands territoires à l’Ouest du royaume de France";Europe médiévale
Traité de Jaffa;1229;;signé entre Ayyoubides et Frédéric II du SERG, les croisés récupèrent Jérusalem, mais les musulmans conservent des enclaves. Jérusalem devient une ville ouverte, partagées en chrétiens et musulmans pendant 15 ans;Islam médiéval
Traité de Troyes;1420;;le territoire au nord de la Loire appartient à la couronne d’Angleterre;Europe médiévale
traité de Verdun;843;;l’empire carolingien est divisé en 3, Lotharingie, Francie Occidentale et Francie Orientale;Europe médiévale
Urbain II appelle à la croisade;1095;;les pèlerins ne sont plus les bienvenus à Jérusalem;Islam médiéval
Urbain II appelle à la première croisade;1095;;;Europe médiévale
Wisigoths et Ostrogoths arrivent dans l’empire romain;365;;;Europe médiévale
Zirides et Hammadides rompent avec les Fatimides;1050;;;Islam médiéval
